ProductID,Name,Category,Price,Stock,Rating
101,Alpha Gizmo,Electronics,49.99,25,4.5
102,Beta Widget,Electronics,29.99,50,4.0
103,Gamma Gadget,Electronics,,30,3.8
104,Delta Device,Appliances,79.99,0,4.2
105,Epsilon Tool,Appliances,59.99,15,
106,Zeta Instrument,Appliances,99.99,8,4.7
107,Eta Apparatus,Tools,39.99,100,4.1
108,Theta Machine,Tools,89.99,5,4.9
109,Iota Contraption,Tools,109.99,2,5.0
110,Kappa Equipment,Tools,119.99,1,4.8
111,Lambda Gear,Electronics,129.99,12,
112,Mu Device,,139.99,20,4.3
113,,Electronics,149.99,10,4.4
114,Nu Gadget,Electronics,159.99,5,4.6
115,Xi Widget,Electronics,169.99,0,4.0
116,Omicron Gizmo,Electronics,abc,25,4.5
117,Pi Tool,Appliances,189.99,-5,4.2
118,Rho Apparatus,Tools,199.99,10,6.0
119,Smart Alpha Widget,Electronics,89.99,15,4.3
120,Ultra Beta Gadget,Tools,129.99,8,4.7
121,Mega Gamma Device,Appliances,149.99,0,4.1
122,Pro Delta Tool,Tools,79.99,12,4.4
123,Elite Epsilon Machine,Electronics,199.99,3,4.9
124,,Appliances,159.99,20,4.2
125,Advanced Eta Gizmo,Electronics,,45,4.6
126,Basic Theta Widget,Tools,69.99,-3,4.3
127,Premium Iota Gadget,Electronics,abc,18,3.9
128,Eco Kappa Device,Appliances,109.99,0,
129,Smart Lambda Machine,Tools,189.99,7,5.0
130,Ultra Mu Equipment,,149.99,22,4.5
131,Mega Nu Apparatus,Electronics,169.99,31,4.8
132,Pro Xi Contraption,Tools,219.99,1,4.2
133,Elite Omicron Gear,Electronics,139.99,30,4.7
134,Advanced Pi Widget,Appliances,179.99,5,3.8
135,Basic Rho Gadget,Tools,159.99,11,4.4
136,Premium Sigma Device,Electronics,229.99,15,4.9
137,Eco Tau Equipment,Appliances,167.50,9,4.3
138,Smart Upsilon Tool,Tools,199.99,28,4.6
139,Ultra Phi Gizmo,Electronics,169.99,4,4.1
140,,Tools,189.99,17,4.8
141,Mega Chi Machine,Appliances,149.99,82,4.5
142,Pro Psi Apparatus,Electronics,abc,33,4.2
143,Elite Omega Widget,Tools,209.99,6,
144,Advanced Alpha Gadget,Appliances,179.99,0,4.7
145,Basic Beta Device,Electronics,139.99,41,4.4
146,Premium Gamma Tool,Tools,199.99,14,4.8
147,Eco Delta Machine,Electronics,169.99,2,4.3
148,Smart Epsilon Apparatus,Appliances,149.99,8,4.6
149,Ultra Zeta Widget,Tools,195.50,19,4.1
150,Mega Eta Gadget,Electronics,189.99,0,4.9
151,Pro Theta Device,Appliances,159.99,25,3.9
152,Elite Iota Tool,Tools,179.99,7,4.7
153,Advanced Kappa Gizmo,Electronics,129.99,94,4.4
154,Basic Lambda Machine,Appliances,abc,16,4.2
155,Premium Mu Equipment,Tools,209.99,3,
156,Eco Nu Apparatus,Electronics,169.99,0,4.8
157,Smart Xi Widget,Tools,149.99,67,4.5
158,,Appliances,189.99,12,4.3
159,Ultra Omicron Device,Electronics,199.99,5,4.6
160,Mega Pi Tool,Tools,159.99,21,4.1
161,Pro Rho Machine,Electronics,179.99,0,4.9
162,Elite Sigma Gadget,Appliances,184.99,8,4.4
163,Advanced Tau Equipment,Tools,169.99,36,4.7
164,Basic Upsilon Apparatus,Electronics,abc,14,4.2
165,Premium Phi Widget,Tools,229.99,4,
166,Eco Chi Device,Appliances,149.99,0,4.8
167,Smart Psi Tool,Electronics,189.99,17,4.5
168,Ultra Omega Gizmo,Tools,159.99,6,4.3
169,Mega Alpha Machine,,179.99,23,4.6
170,Pro Beta Apparatus,Electronics,199.99,2,4.1
171,Elite Gamma Widget,Appliances,169.99,0,4.9
172,Advanced Delta Gadget,Tools,182.50,11,4.4
173,Basic Epsilon Device,Electronics,189.99,73,4.7
174,Premium Zeta Tool,Appliances,abc,19,4.2
175,Eco Eta Equipment,Tools,209.99,5,
176,Smart Theta Apparatus,Electronics,149.99,0,4.8
177,Ultra Iota Widget,Tools,179.99,16,4.5
178,Mega Kappa Gizmo,Appliances,159.99,7,4.3
179,,Electronics,199.99,24,4.6
180,Pro Mu Device,Tools,169.99,3,4.1
181,Elite Nu Tool,Electronics,189.99,0,4.9
182,Advanced Xi Machine,Appliances,176.50,13,4.4
183,Basic Omicron Apparatus,Tools,179.99,45,4.7
184,Premium Pi Widget,Electronics,abc,18,4.2
185,Eco Rho Gadget,Appliances,229.99,6,
186,Smart Sigma Device,Tools,149.99,0,4.8
187,Ultra Tau Tool,Electronics,189.99,15,4.5
